epoch,total_loss,avg_loss,training_accuracy,samples
1,3364.06,0.0560676,69.865,60000
2,2310.01,0.0385002,75.835,60000
3,2284.43,0.0380738,76.1283,60000
4,2269.68,0.037828,76.2717,60000
5,2257.22,0.0376203,76.4283,60000
6,2246.26,0.0374376,76.5733,60000
7,2236.18,0.0372696,76.6467,60000
8,2226.67,0.0371111,76.7417,60000
9,2217.84,0.036964,76.8783,60000
10,2209.49,0.0368248,76.96,60000
11,2201.21,0.0366868,77.035,60000
12,2193.28,0.0365546,77.15,60000
13,2185.78,0.0364296,77.2,60000
14,2178.12,0.036302,77.3067,60000
15,2170.83,0.0361806,77.4467,60000
16,2163.65,0.0360608,77.4817,60000
17,2156.62,0.0359436,77.5483,60000
18,2149.63,0.0358271,77.63,60000
19,2142.8,0.0357134,77.7217,60000
20,2136.29,0.0356049,77.7867,60000
21,2129.84,0.0354974,77.875,60000
22,2123.36,0.0353894,77.9433,60000
23,2117.11,0.0352851,78.0333,60000
24,2110.63,0.0351771,78.0983,60000
25,2104.4,0.0350733,78.1183,60000
